,Aerolinea,Fecha Salida,Hora Salida,Vuelo Salida,Destino,%LF DEP,Mes,Dia Dep,categoria
5436,AVA,2025-02-06,4:50:00 a.m.,8475,BOG,98.9,febrero,jueves,A
5437,AVA,2025-02-06,8:50:00 a.m.,9323,BOG,55.25,febrero,jueves,A
5438,AVA,2025-02-06,7:10:00 a.m.,8427,BOG,96.13,febrero,jueves,AAA
5439,AVA,2025-02-06,8:23:00 a.m.,9463,BOG,76.24,febrero,jueves,AAA
5440,AVA,2025-02-06,8:49:00 a.m.,8451,BOG,53.59,febrero,jueves,AAA
5441,AVA,2025-02-06,9:21:00 a.m.,9307,BOG,85.08,febrero,jueves,AA
5442,AVA,2025-02-06,10:11:00 a.m.,9557,BOG,79.01,febrero,jueves,AA
5443,AVA,2025-02-06,11:33:00 a.m.,9349,BOG,96.69,febrero,jueves,AAA
5444,AVA,2025-02-06,11:51:00 a.m.,9339,BOG,92.27,febrero,jueves,A
5445,AVA,2025-02-06,12:33:00 p.m.,9346,BOG,79.01,febrero,jueves,B
5446,AVA,2025-02-06,2:01:00 p.m.,9337,BOG,83.43,febrero,jueves,AAA
5447,AVA,2025-02-06,2:22:00 p.m.,9329,BOG,35.91,febrero,jueves,AA
5448,AVA,2025-02-06,3:03:00 p.m.,9309,BOG,91.16,febrero,jueves,AA
5449,AVA,2025-02-06,4:28:00 p.m.,8405,BOG,72.38,febrero,jueves,A
5450,AVA,2025-02-06,4:41:00 p.m.,9313,BOG,75.69,febrero,jueves,AAA
5451,AVA,2025-02-06,5:18:00 p.m.,9343,BOG,91.16,febrero,jueves,AAA
5452,AVA,2025-02-06,6:28:00 p.m.,9375,BOG,96.13,febrero,jueves,AAA
5453,AVA,2025-02-06,7:18:00 p.m.,8415,BOG,91.16,febrero,jueves,AA
5454,AVA,2025-02-06,7:39:00 p.m.,9261,BOG,80.11,febrero,jueves,A
5455,AVA,2025-02-06,8:20:00 p.m.,9331,BOG,55.8,febrero,jueves,AA
5456,AVA,2025-02-06,8:29:00 p.m.,9315,BOG,54.14,febrero,jueves,A
5457,AVA,2025-02-06,9:23:00 p.m.,9569,BOG,66.3,febrero,jueves,A
5458,AVA,2025-02-06,9:53:00 p.m.,9335,BOG,38.67,febrero,jueves,AA
5459,AVA,2025-02-07,7:54:00 a.m.,9243,BOG,53.59,febrero,viernes,AA
5460,AVA,2025-02-07,6:41:00 a.m.,8435,BOG,61.88,febrero,viernes,AA
5461,AVA,2025-02-07,8:19:00 a.m.,9463,BOG,43.09,febrero,viernes,AAA
5462,AVA,2025-02-07,6:15:00 a.m.,9245,BOG,83.98,febrero,viernes,AA
5463,AVA,2025-02-07,4:47:00 a.m.,8475,BOG,27.62,febrero,viernes,A
5464,AVA,2025-02-07,4:35:00 a.m.,9653,BOG,61.88,febrero,viernes,AA
5465,AVA,2025-02-07,5:00:00 a.m.,9725,BOG,33.7,febrero,viernes,AA
5466,AVA,2025-02-07,7:14:00 a.m.,8427,BOG,77.9,febrero,viernes,AAA
5467,AVA,2025-02-07,8:34:00 a.m.,8451,BOG,38.67,febrero,viernes,AAA
5468,AVA,2025-02-07,8:50:00 a.m.,9323,BOG,77.35,febrero,viernes,A
5469,AVA,2025-02-07,9:14:00 a.m.,9307,BOG,85.64,febrero,viernes,AA
5470,AVA,2025-02-07,10:04:00 a.m.,9557,BOG,78.45,febrero,viernes,AA
5471,AVA,2025-02-07,11:18:00 a.m.,9349,BOG,87.85,febrero,viernes,AAA
5472,AVA,2025-02-07,11:54:00 a.m.,9339,BOG,91.71,febrero,viernes,A
5473,AVA,2025-02-07,12:58:00 p.m.,9329,BOG,90.61,febrero,viernes,AA
5474,AVA,2025-02-07,1:46:00 p.m.,9337,BOG,101.1,febrero,viernes,AAA
5475,AVA,2025-02-07,10:28:00 p.m.,9335,BOG,84.53,febrero,viernes,AA
5476,AVA,2025-02-07,5:32:00 p.m.,8405,BOG,100.0,febrero,viernes,A
5477,AVA,2025-02-07,5:28:00 p.m.,9343,BOG,102.76,febrero,viernes,AAA
5478,AVA,2025-02-07,5:21:00 p.m.,9313,BOG,100.55,febrero,viernes,AAA
5479,AVA,2025-02-07,7:54:00 p.m.,9553,BOG,92.27,febrero,viernes,AA
5480,AVA,2025-02-07,7:40:00 p.m.,8415,BOG,99.45,febrero,viernes,AA
5481,AVA,2025-02-07,8:04:00 p.m.,9261,BOG,66.3,febrero,viernes,A
5482,AVA,2025-02-07,8:47:00 p.m.,9375,BOG,39.23,febrero,viernes,AAA
5483,AVA,2025-02-07,8:45:00 p.m.,9315,BOG,76.8,febrero,viernes,A
5484,AVA,2025-02-07,9:27:00 p.m.,9569,BOG,93.92,febrero,viernes,A
5485,AVA,2025-02-08,6:15:00 a.m.,9245,BOG,98.34,febrero,sbado,AA
5486,AVA,2025-02-08,2:00:00 p.m.,9337,BOG,73.48,febrero,sbado,AAA
5487,AVA,2025-02-08,5:02:00 a.m.,9725,BOG,99.45,febrero,sbado,AA
5488,AVA,2025-02-08,6:00:00 a.m.,9653,BOG,3.87,febrero,sbado,AA
5489,AVA,2025-02-08,7:18:00 a.m.,8427,BOG,97.24,febrero,sbado,AAA
5490,AVA,2025-02-08,8:42:00 a.m.,9463,BOG,90.61,febrero,sbado,AAA
5491,AVA,2025-02-08,8:43:00 a.m.,9323,BOG,83.98,febrero,sbado,A
5492,AVA,2025-02-08,10:06:00 a.m.,9557,BOG,82.87,febrero,sbado,AA
5493,AVA,2025-02-08,11:27:00 a.m.,9349,BOG,96.69,febrero,sbado,AAA
5494,AVA,2025-02-08,11:47:00 a.m.,9339,BOG,75.69,febrero,sbado,A
5495,AVA,2025-02-08,11:42:00 a.m.,9307,BOG,12.71,febrero,sbado,AA
5496,AVA,2025-02-08,1:03:00 p.m.,9329,BOG,65.19,febrero,sbado,AA
5497,AVA,2025-02-08,12:26:00 p.m.,9346,BOG,56.91,febrero,sbado,B
5498,AVA,2025-02-08,2:58:00 p.m.,9309,BOG,79.56,febrero,sbado,AA
5499,AVA,2025-02-08,4:39:00 p.m.,9313,BOG,62.98,febrero,sbado,AAA
5500,AVA,2025-02-08,4:34:00 p.m.,8405,BOG,69.06,febrero,sbado,A
5501,AVA,2025-02-08,5:13:00 p.m.,9343,BOG,71.27,febrero,sbado,AAA
5502,AVA,2025-02-08,6:30:00 p.m.,9375,BOG,82.87,febrero,sbado,AAA
5503,AVA,2025-02-08,6:58:00 p.m.,8415,BOG,66.3,febrero,sbado,AA
5504,AVA,2025-02-08,7:43:00 p.m.,9261,BOG,30.94,febrero,sbado,A
5505,AVA,2025-02-08,8:20:00 p.m.,9331,BOG,36.46,febrero,sbado,AA
5506,AVA,2025-02-08,8:30:00 p.m.,9315,BOG,35.91,febrero,sbado,A
5507,AVA,2025-02-08,9:32:00 p.m.,9569,BOG,19.34,febrero,sbado,A
5508,AVA,2025-02-08,9:59:00 p.m.,9335,BOG,13.26,febrero,sbado,AA
5509,AVA,2025-02-09,5:28:00 p.m.,8405,BOG,102.76,febrero,domingo,A
5510,AVA,2025-02-09,4:27:00 a.m.,9653,BOG,87.85,febrero,domingo,AA
5511,AVA,2025-02-09,6:41:00 a.m.,8435,BOG,46.41,febrero,domingo,AA
5512,AVA,2025-02-09,7:15:00 a.m.,8427,BOG,58.56,febrero,domingo,AAA
5513,AVA,2025-02-09,9:16:00 a.m.,9307,BOG,77.9,febrero,domingo,AA
5514,AVA,2025-02-09,7:53:00 a.m.,9243,BOG,53.59,febrero,domingo,AA
5515,AVA,2025-02-09,8:28:00 a.m.,8451,BOG,49.72,febrero,domingo,AAA
5516,AVA,2025-02-09,8:19:00 a.m.,9463,BOG,30.94,febrero,domingo,AAA
5517,AVA,2025-02-09,8:46:00 a.m.,9323,BOG,87.29,febrero,domingo,A
